id,url,record,summary title,identifiers,collection,authors,publication dates,publication places,publisher,volume,series dates,topics,notes,dimensions,extents,page count,image count,page numbers,illustrated,toc,thumb,pdf,epub,text,illustrations
ukmhl-b21471897,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21471897,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21471897,The Huxley lecture on recent advances in science and their bearing on medicine and surgery,[document] b21471897 | [Glasgow] b22525038 | [UkLW] b21471897 | ,University of Glasgow Library | ,"Virchow, Rudolf | ",1898 | ,London | ,Printed At The Office Of The British Medical Journal | ,,,Surgery | ,"[general] ""Reprinted from the British medical journal, October 8, 1898."" -- cover. | [general] Cover title. | [holder of duplicates] This material has been provided by The University of Glasgow Library. The original may be consulted at The University of Glasgow Library. | [holder of originals] The University of Glasgow Library. | ",22 cm | ,25 p | ,36,36,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/31/items/b21471897/b21471897_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/31/items/b21471897/b21471897_thumb/b21471897_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/31/items/b21471897/b21471897.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/31/items/b21471897/b21471897.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/31/items/b21471897/b21471897_djvu.txt,
ukmhl-b21933224_0002,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21933224_0002,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21933224_0002,A manual of surgical treatment,[document] b21933224_0002 | [UkLW] b21933224 | ,Royal College of Physicians of Edinburgh (RCPE) | ,,1899-1903 | ,London | ,"Longmans, Green | ",0002 | ,[earliest]1899 | [latest]1903 | ,Surgery | ,[holder of duplicates] This material has been provided by the Royal College of Physicians of Edinburgh. The original may be consulted at the Royal College of Physicians of Edinburgh. | [holder of originals] Royal College of Physicians of Edinburgh. | ,,6 v. in 7 | ,412,412,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/16/items/b21933224_0002/b21933224_0002_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21933224_0002/b21933224_0002_thumb/b21933224_0002_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/19/items/b21933224_0002/b21933224_0002.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21933224_0002/b21933224_0002.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21933224_0002/b21933224_0002_djvu.txt,
ukmhl-b21926177,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21926177,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21926177,Leitfaden zur antiseptischen Wundbehandlung mit Rücksicht auf ihren gegenwärtigen Standpunkt,[document] b21926177 | [UkLW] b21926177 | ,Royal College of Physicians of Edinburgh (RCPE) | ,,1887 | ,Stuttgart | ,F. Enke | ,,,Wounds and Injuries | ,[holder of duplicates] This material has been provided by the Royal College of Physicians of Edinburgh. The original may be consulted at the Royal College of Physicians of Edinburgh. | [holder of originals] Royal College of Physicians of Edinburgh. | ,,"xx, 308 p | ",336,336,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/20/items/b21926177/b21926177_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21926177/b21926177_thumb/b21926177_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/19/items/b21926177/b21926177.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21926177/b21926177.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21926177/b21926177_djvu.txt,
ukmhl-b21298397,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21298397,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21298397,Traité du froid,[document] b21298397 | [UkLU-K] 000608781 | [UkLW] b21298397 | ,"King's College London, Foyle Special Collections Library | ",La Corbière | ,1839 | ,Paris | ,H. Cousin | ,,,Surgery | ,[bibliography] Includes bibliographical references and index. | [holder of duplicates] This material has been provided by King’s College London. The original may be consulted at King’s College London. | [holder of originals] King’s College London. | ,21 cm | ,719 p | ,726,726,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b21298397/b21298397_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/12/items/b21298397/b21298397_thumb/b21298397_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/12/items/b21298397/b21298397.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b21298397/b21298397.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b21298397/b21298397_djvu.txt,
ukmhl-b21307027,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21307027,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21307027,The surgical anatomy of the perinæum.,[document] b21307027 | [UkLU-K] 001167291 | [UkLW] b21307027 | ,"King's College London, Foyle Special Collections Library | ","Morton, Thomas | ",1838 | ,London | ,Printed For Taylor And Walton | ,,,Surgery | ,"[bibliography] Includes bibliographical references. | [general] Final 16 p. : publisher's advertisements. | [general] Note on title page: ""Illustrated with lithographic plates, and wood engravings"" | [general] Spine title: ""Morton on the perinæum"" | [holder of duplicates] This material has been provided by King’s College London. The original may be consulted at King’s College London. | [holder of originals] King’s College London. | ",26 cm | ,"80, 16 p., 4 leaves of col. plates | ",116,116,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/7/items/b21307027/b21307027_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/12/items/b21307027/b21307027_thumb/b21307027_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/12/items/b21307027/b21307027.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b21307027/b21307027.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b21307027/b21307027_djvu.txt,
ukmhl-b21309541,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21309541,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21309541,Ununited fracture successfully treated,[document] b21309541 | [UkLU-K] 000701773 | [UkLW] b21309541 | ,"King's College London, Foyle Special Collections Library | ","Bigelow, Henry Jacob | ",1867 | ,"Boston, Mass | ",David Clapp & Son | ,,,Wounds and injuries | ,[bibliography] Includes bibliographical refrences. | [holder of duplicates] This material has been provided by King’s College London. The original may be consulted at King’s College London. | [holder of originals] King’s College London. | ,22 cm | ,25 p | ,28,28,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b21309541/b21309541_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/12/items/b21309541/b21309541_thumb/b21309541_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/12/items/b21309541/b21309541.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b21309541/b21309541.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b21309541/b21309541_djvu.txt,
ukmhl-b24905835,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b24905835,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b24905835,Die allgemeine chirurgische Pathologie und Therapie in einundfünfzig Vorlesungen,[document] b24905835 | [RCPL] 2734 | [UkLW] b24905835 | ,Royal College of Physicians | ,"Billroth, Theodor | ",1866 | ,Berlin | ,Georg Reimer | ,,,Therapeutics | ,"[holder of duplicates] This material has been provided by Royal College of Physicians, London. The original may be consulted at Royal College of Physicians, London. | [holder of originals] Royal College of Physicians, London. | ",25 cm | ,"xvi, 751 p | ",744,744,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/21/items/b24905835/b24905835_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/18/items/b24905835/b24905835_thumb/b24905835_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/18/items/b24905835/b24905835.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b24905835/b24905835.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b24905835/b24905835_djvu.txt,
ukmhl-b21300355_0002,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21300355_0002,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21300355_0002,Elements of surgery,[document] b21300355_0002 | [UkLU-K] 000646590 | [UkLW] b21300355 | ,"King's College London, Foyle Special Collections Library | ","Liston, Robert | ",1831 | ,Edinburgh | London | ,"Printed For Longman, Rees, Orme, Brown, Green,...and Adam Black | ",2 | ,[earliest]1831 | [latest]1831 | ,Wounds and injuries | ,"[general] Spine title: ""Liston's surgery"" | [general] Vol. 1: xv, 318 p. ; vol. 2: vii, 324 p. ; vol. 3: viii, 409 p. | [general] With drop-head titles. Half-title page for vol. 3. | [holder of duplicates] This material has been provided by King’s College London. The original may be consulted at King’s College London. | [holder of originals] King’s College London. | ",22 cm | ,3 v | ,350,350,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/16/items/b21300355_0002/b21300355_0002_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/16/items/b21300355_0002/b21300355_0002_thumb/b21300355_0002_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/16/items/b21300355_0002/b21300355_0002.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/16/items/b21300355_0002/b21300355_0002.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/16/items/b21300355_0002/b21300355_0002_djvu.txt,
ukmhl-b21635961,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21635961,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21635961,Die Ophthalmologie (liber de oculo) des,[document] b21635961 | [EUW] b21635961 | ,"UCL Library Services, University College London (UCL) | ","Alcalá, Pedro De | ",1899 | ,München | ,Verlag Von J. F. Lehmann | ,,,"Surgical Procedures, Operative | ",[holder of originals] This material has been provided by UCL Library Services. The original may be consulted at UCL (University College London) | ,23 cm | ,"xxxvii, 135 p | ",184,184,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/20/items/b21635961/b21635961_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/20/items/b21635961/b21635961_thumb/b21635961_0003.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/20/items/b21635961/b21635961.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/20/items/b21635961/b21635961.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/20/items/b21635961/b21635961_djvu.txt,
ukmhl-b21464947,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21464947,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21464947,The modern advancement of practical medicine and surgery,[document] b21464947 | [Glasgow] b30666764 | [UkLW] b21464947 | ,University of Glasgow Library | ,"Simpson, James Young | ",1853 | ,Edinburgh | ,"Murray And Gibb, Printers | ",,,Surgery | ,[bibliography] Includes bibliographical footnote. | [holder of duplicates] This material has been provided by The University of Glasgow Library. The original may be consulted at The University of Glasgow Library. | [holder of originals] The University of Glasgow Library. | ,22 cm | ,18 p | ,22,22,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/31/items/b21464947/b21464947_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/31/items/b21464947/b21464947_thumb/b21464947_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/31/items/b21464947/b21464947.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/31/items/b21464947/b21464947.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/31/items/b21464947/b21464947_djvu.txt,
ukmhl-b24920915,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b24920915,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b24920915,"Surgical reminiscences, including eighteen years' work in the Western Infirmary, Glasgow",[document] b24920915 | [Glasgow] b14917063 | [UkLW] b24920915 | ,University of Glasgow Library | ,"Patterson, Alexander | ",1897 | ,Edinburgh | ,,,,Surgery | ,[general] Reprinted. | [holder of duplicates] This material has been provided by The University of Glasgow Library. The original may be consulted at The University of Glasgow Library. | [holder of originals] The University of Glasgow Library. | ,,1 v | ,22,22,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b24920915/b24920915_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/12/items/b24920915/b24920915_thumb/b24920915_0003.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/12/items/b24920915/b24920915.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b24920915/b24920915.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b24920915/b24920915_djvu.txt,
